title,description,length
Roads To Santiago,"A many-tangented pilgrimage through ten centuries of Spain's history, its politics, its art, literature and architecture, its climate and its people, in which Nooteboom unlocks doors to an undiscovered Spain and reveals his obsession for a country he has come to know intimately over the course of forty years.",310
Up Over Down Under,"Eliza Ritter has high expectations for her semester in Melbourne, Australia. Sure, she's participating in an environmental program, but really she hopes to spend her time meeting cute boys. So when she meets a hot surfer, she is thrilled! Aussie Billie Echols, on the other hand, actually does have an interest in the environmental program she's signed up for in Washington, D.C. But the States are nothing like she expected, and soon Billie is caught in the middle of an unexpected controversy.",495
Wonder Boys,"Grady Tripp is a pot-smoking middle aged novelist who has stalled on a 2611 page opus titled Wonder Boys. His student James Leer is a troubled young writer obsessed by Hollywood suicides and at work on his own first novel. Grady's bizarre editor Terry Crabtree and another student, Hannah Green, come together in his wildly comic, moving, and finally profound search for an ending to his book and a purpose to his life.",419
An Officer and a Gentleman,"""An Officer and a Gentleman"" Short Story TOR.COM Exclusive.
In the short story ""An Officer and a Gentleman,"" set in the world of The Chronicles of the Pneumatic Zeppelin steampunk adventure series, the young Lieutenant Romulus Buckle faces his first great test under fire when his armed trader airship Bromhead is attacked and boarded by pirates.",346
Dave's Blow Job,"(2800 words) (Warning: this story contains oral sex.) I always wondered why my friend Dave, who clearly wasn't gay, never hung out with the guys on Friday night, and he never had a girlfriend, nor seemed interested in getting one. One night my curiosity got the best of me so I followed him and spied on him. What I found out blew me away.",339
"Uh-oh, Calico!","Calico is having a bad day! She falls while chasing a bee, tramples a flower garden, and even spills her milk! Poor Calico! She feels like she can't do anything right... until her mother reminds her that everyone makes mistakes, and she still loves her--no matter what! This second book in the Calico board book series is perfect for even the youngest readers.",360
Marketing Research For Beginners: A Practical Handbook,"This book aimed at providing students and corporate professionals with some understanding of the basic principles of marketing research. By setting the foundation of the necessary skills to conduct research in the marketplace, readers will learn how to gather valid information for better managerial decision-making.",316
The Medusa Frequency,"An inexplicable message flashed onto the screen of his Apple II computer at 3am heralds the beginning of a startling quest for frustrated author Herman Orff. Taking up the offer of a cure for writer's block plunges him into a semi-dreamland inhabited by a bizarre combination of characters from myth and reality; the talking head of Orpheus, the young girl of Vermeer's famous portrait, and a frequency of Medusas.",414
Embracing Ashberry,"The Marquess of Ashberry had never planned to marry or have children, but there is something about Ella Whitney he can't quite ignore. Her skittishness, her inclination to overlook his existence and her vulnerability has him re-thinking his future.
Ella Whitney is skittish, and for very good reasons. But she can't avoid Ashberry's company all the time with her brother marrying his sister. Instead she has to face her fears, stand up to her family, and remember her dreams.",475
"Witch's Guide to Cooking with Children, The: A Novel","2010 ALA Notable Children's Recording. The New Yorker recommends: http://www.newyorker.com/online/blogs...for info. USA Today also really liked it, calling it ""scary, funny, and subversive."" A 2011 Texas Bluebonnet Book and 2012 Hawai'i Nene Award Nominee. Publishers Weekly said: ""McGowan makes a strong debut with this contemporary recasting of Hansel and Gretel."" BCCB recommended it.",387
"God's Not Dead (and Neither Are We): The Story of Christian Alternative Rock's Pioneers Then and Now, as Told by the Artists Themselves","While bands such as Switchfoot and Jars of Clay are household names, the artists who paved the way for their success by first introducing modern rock to Christian music are all but forgotten by the very industry they created. Now, they are telling their story from the beginning to the present day. This book isn't about where are they now, but who are they now as with frank and sometimes shocking openness the ones who went before talk about their lives and times... a time that is not yet passed.",499
Cowboy And Wills,"The day Monica learns that her three-year-old son, Wills, has Autism, she takes him to buy an aquarium. It's the first in a string of impulsive trips to the pet store to buy animals as a distraction from the reality of Wills's diagnosis. When Wills is six, Cowboy, a golden retriever puppy, joins their family.",310
Summer of Elves,"Aly's world suddenly changes when she goes to work for her grandmother. Her position of helping in her gardens soon turns into a training camp to become the new guardian of a band of light elves. Creatures known from Norse Mythology appear wherever she goes. Some are friendly with her and some are very dangerous. Her summer is spent learning how to adjust to a life where both humans and creatures live.
Summer of Elves Trailer
https://www.youtube.com/watch?v=Eil1T...",470
They Used Dark Forces,"It is 1943, World war II, and secret agent Gregory Sallust is parachuted into Nazi Germany. In the company of an ex-Bolshevik General named Stefan Kuporovitch, the two of them join forces with the widow of a German diplomat who is in contact with Allied Intelligence. It is through her that Gregory becomes unwillingly involved with a Black Magician and when, sixteen months later, they meet again, each decides to use occult forces in an attempt to destroy Hitler once and for all...",484
Heller’s Decision,"Book 5 in the Heller series. Tilly Chalmers' new job as a researcher for a major TV star is turning out to be more eventful than she ever expected. Always on the lookout for a high rating story for her famous boss, she tangles with adult movie stars, and the man who inspired a couple of blood-thirsty young murderers. An unwelcome encounter with a long-time enemy stirs up trouble, and what important decision does Heller make that threatens to jeopardise their relationship?",476
Problems of Christian Leadership,"Christian leaders face challenges. But God works with us and through us to accomplish his purposes. Available here for the first time in English is John Stott's practical wisdom for younger leaders. Speaking personally from his own experience, Stott addresses issues of discouragement, self-discipline, relationships and youth.",327
Love is My Reason,"A STRANGE, ELUSIVE GHOST OF A GIRL...
David Manworth thought when he first glimpsed Anya. She was living with her stepfather in a displaced persons' camp in Germany. Her future looked decidedly bleak. Then her stepfather died, and David's influential family brought her to England. They took charge of her life - but it was David who controlled her heart. Yet, until she became independent, how could she possibly transform his pity into love? Or was that to much to hope for?",476
Of Masques and Martyrs (Shadow Saga #3),"Led by Peter Octavian, the Shadows must drink blood. Yet they do not steal life. New Shadows are created only by individual choice. Peace is their only hunger. The minions of Hannibal have a different goal: the enslavement of humanity. They kill for pleasure and for thirst. They indiscriminately create more of their own. And they embrace the title of terrible legend: vampire. Shadows and vampires. One and the same. Their war continues...",441
Pride & Prejudice,"Pride and Prejudice does it all. It shows us how life should flow, with gentlemen and ladies, heroes and gallantry, changes brought about by love, wealth and influence, and as only possible in Regency England. Yes, the petty minds, the rascals, the extortioners, and the simple minded all take their places, but they do not overshadow Elizabeth and Darcy. And that is all we can tell without explaining too much about why this is one of the most important pieces of English literature.",485
Under Fire (Elite Force #3),"When Rachel Flores' tumultuous relationship with Major Liam McCabe ended abruptly, she refocuses her energy onto her career. She plans to forget Liam and live a peaceful life supplying therapy dogs for recovering military vets-until a patient reveals a traitorous plot within the epicenter of military intelligence. Rachel finds herself ensnared within a web of danger, and only one man can help her...",402
The Avengers and Me,"For the first time, Patrick Macnee tells all The never-before revealed secrets of the hit TV series The Avengers are laid bare by the man who played John Steed in no less than seven series of the show. . Lavishly illustrated, with many unpublished stills, behind-the-scenes photos, and snaps from Macnee's private collection, this is a very personal portrait of the world's best-loved cult action-adventure series.",414
The Moon Is Broken: A Mother's True Story,"Ann Craig was an honors student at an Ivy League university until, seemingly overnight, she suffered a mental breakdown, was hospitalized, and was put on suicide watch. She refused further therapy and fell into the drug culture of New York. This poignant account resonates with the ironic pain of a gifted therapist unable to heal her own beloved daughter.",356
"The Price of Fame (Tales from Grace Chapel Inn, #14)",The winter doldrums are just settling over Acorn Hill when a movie crew comes to scout locations for an upcoming project. The director loves the small-town feel and hopes to film a pivotal scene in Grace Chapel. He leaves behind a crew member to convince the town council to allow the shoot. Will Ore citizens of Acorn Hill make a wise decision?,345
"The Blushing Bounder (Iron Seas, #0.4)","In The Iron Duke, Constable Newberry helped save all of England. But before the events of that novel, Constable Newberry's faced a danger of another kind: to his heart, by the woman forced to marry him. What will it take for this prudish bounder to convince his wife to stay?
The Blushing Bounder was previously published in the anthology Wild & Steamy.
The Blushing Bounder is a short story/novella of approximately 13,400 words (50 pages.)",441
Stories from the Edges - A LongShortStories Collection,"In this 2011 ebook debut collection of Wayne C. Long's 34 miniature masterpieces, discerning adult short story readers will thrill to a rollicking roller coaster ride of fiction genres: literary, sci-fi, romance, dark humor, fantasy, Native American, and military. Add in cutting-edge stories that aggressively resist straitjacketing and you have the breakout Stories from the Edges.",383
Midnight Rhythms,"The last thing Sam had wanted was a stranger in the house for three long months!
David was always there-making her angry, making her laugh, giving her all the fun she'd been missing...and, during the long, sleepless nights, showing just how much he desired her. Sam didn't ""want"" to fall in love-but David's irresistible charms were slowly breaking down her defenses.
But in just three short months he'd be gone...wouldn't he?",426
Five-A-Day Fruit and Vegetable Cookbook: Over 200 Recipes to Ensure You Achieve the Health Experts' Recommended Five-Portion Daily Minimum for You and Your Family,"This comprehensive guide explains all there is to know about these exquisite foods and how best to enjoy them. Government advice, backed up by leading nutritional experts from all over the world, is that five portions of fruit and vegetables per day will extend and improve the quality of life for all - and here's how to get them.",331
Embracing the Chaos: Theological Responses to AIDS,"embracing the chaos is intended as a helpful theological and pastoral resource for all who are affected by HIV / AIDS, whether as carers or sufferers. with that in mind, the ten main essays are interspersed with short reflections by men and women who have been diagnosed hiv positive, and who have been invited to speak for themselves about personal struggle to live fully and creatively in the face of chaos and the prospect of death.",435
Finsterhall of San Pasqual,"A fictional story of San Diego's own Wild Animal Park. From the back cover: ""Finsterhall and his friends--and some enemies--lived in the peaceful little San Pasqual Valley where the order of things had been established as far back as perhaps ten thousand grandfathers ago. But these little Southern California creatures had no built-in instincts to tell them how to live with the strangers who had come to the valley. The BIG strangers.""",437
Combat Jerk,"For a young Marine, hunkered down in his mud-hole during a night of patrol in Viet Nam, what else is there to do to pass the night? When he needs that extra degree of stimulation, where else cane he go but into his memories? Combat Jerk is a tale of self-satisfaction during a time and in a place where there is little else of value to him.",340
Campaign of the Gods,"When Norse god Tyr suspects his friend Thor is cheating in the phenomenal board game 'Campaign of the Gods' he takes matters into his own hands and searches out the only being in Asgard who can help solve his problem.
But things are not what they seem...
And once the forces of Hel are unleashed, only legendary Viking berserker Ivar Ragnarsson and his men can possibly save the day.
They just have to work out when in history they are first - and why are the local townspeople so strange?",489
The Reformed Faith: Exposition of the Westminster Confession of Faith,"The Westminster Confession is the most accurate and comprehensive creed so far produced by the church. Many of its statements are short explanations of a profound doctrine that needs to be unpacked. The classic explanation of the confession provides a thorough theological grounding.
This book is completely re-typeset for this 5th reprint by Christian Focus Publications.",372
Cruel Angels Pass-by,"Angels are hither and thither. However, some angels are not so sweet. In particular in the case of this man. A man who lived normally. Spending sleepless nights, indifferent to neighborhood events, but he got an event of his own by a sound. It was the beginning of all.
A short story of about 2500 words.",304
Romans: An Exposition of Chapters 3.20-4.25: Atonement and Justification,"In this volume the preacher moves step by step through the massive reasoning of the Apostle Paul on atonement and justification, yet the detail of the exposition does not stand in the way of a clear view of the whole, and the reader is constantly shown how every section fits in the theme of God's complete plan of salvation.",325
"Poor Jenny, Bright As A Penny","Fifteen-year-old Jenny Middle struggles to hold her family together despite poverty, constant moves, the jail sentence and drunkenness of her mother, and a sister tragically involved with drugs.
The title has been changed to UNSETTLED on the ebook edition, issued in 2011. This timeless story of growing up forty years ago will be as relevant and moving to girls of today as it was to those who read it when first published.",424
Old Man Logan (2015-) #3,"Having survived his first step in his quest across the realms of Battleworld, Logan has come face to face with the horrors mutantkind can produce. But mutants are not the sole purveyors of horror on this patch-worked planet. And Logan's job is far from finished. With his next step, Logan comes face to face with the sins committed by the machines of man.",355
Among the Lost,"Among the Lost, set in the modern American rust belt, is a meditation drawn from Dante's Purgatorio. To Dante, Purgatory was the mountain where souls not damned went after death to cleanse themselves of sin in preparation for entering Paradise. What, Steinzor asks, are we preparing ourselves for, having lost the fear of hell and the hope of heaven, in the course of our daily urban existence? And whatever that is, how do we go about preparing for it?",453
Devil to Pay,"Blake Turner had it all--until a demon decided to take residence in his soul. Plagued with constant black outs and a trail of dead bodies in his wake, Blake thinks vampire Elise is his best chance at ending the nightmare. It's just too bad he's fallen in love with the gorgeous vamp right before he has to die... Featuring characters from New York Timesbestselling author Jeaniene Frost's Night Huntress world. (Originally appeared in Four Dukes and a Devilanthology)",467
"Before Watchmen: The Comedian #3 (Before Watchmen: The Comedian, #3)","What happens when you find out the whole world is a joke? You become the Comedian. Writer Brian Azzarello teams with artist J.G. Jones to explore the mad mind of one of WATCHMEN's darkest characters.
""I am a blood brother."" Plus: Don't miss the CRIMSON CORSAIR backup story by writer LEN WEIN and artist JOHN HIGGINS!",317
The Witch Who Saved Halloween,"Witchard must solve a mystery. The situation is serious. Pollution is making it hard to breathe, buckles tarnish, and all sorts of unpleasant things are happening. And the witches are thinking of leaving the Earth to live on a cleaner planet!
Witchard finds a satisfactory solution to the pollution problem and in doing so meets some Earthling boys who become his friends and teach him to play touch football.",409
My Name is Charles Saatchi and I am an Artoholic,"One of the most influential art collectors of our time and founder of the global advertising agency, Charles Saatchi reveals his opinions on collecting, artists, dealers, advertising and investing in art with unflinching honesty. Famously reclusive, he has answered questions asked to him by journalists, critics and the general public about the art world and his personal life. The book?s release coincides with the BBC 2 broadcast of Saatchi?s Best of British.",462
"Casanova Was a Book Lover: And Other Naked Truths and Provocative Curiosities About the Writing, Selling, and Reading of Books","Providing a hilarious cornucopia of biblio-information, Hamilton--a longtime journalist and public radio commentator--proves the best way to study books is not to take them too seriously. His book, now in paperback, gives a succinct overview of the state of the industry today, including writing, marketing, promoting, reviewing, ghostwriting, and collecting. NPR radio giveaways.",380
Spellbound: Fantasy Stories,"This collection of eighteen stories introduces young readers to the best in both classic and contemporary fantasy. Featuring extracts from enduring classics such as Puck of Pook's Hill by Rudyard Kipling, C. S. Lewis's The Silver Chair, and Five Children and It by E. Nesbit, this anthology provides the perfect sample of a very popular genre. Carefully selected by Diana Wynne Jones, each story is sure to delight, enchant, and entice youngsters into the imaginative world of fantasy fiction.",493
Strawberries in November,"Like my first two books, ""The Orange Crystal-like Doorknob"" and ""The Ol' Dog and Duck,"" this one has fun, food for thought, and emotional feelings that I hope readers can relate to. But this one, although not exclusively so, has a theme running through many of the poems, and that theme is about getting older or maybe denying the fact and the general consequences. Some are thought-provoking, but I still like to have fun with the poems, so many of them I hope you find funny and enjoyable.",491
Only a Signal Shown,This is a long-distance love story set in several continents over three decades. Eleanor meets Alec at university but is forced to leave him in order to find out what she is truly capable of. She becomes an artist and eventually wins an international prize for travel writing. Meanwhile he is established in television.,319
The Fashion Committee,"What if one contest could change the course of your entire life?
Charlie Dean is a style-obsessed girl who eats, sleeps, and breathes fashion.
John Thomas-Smith is a boy who forges metal sculptures in his garage and couldn't care less about clothes.
Both are gunning for a scholarship to the private art high school that could make all their dreams come true. And whoever wins the fashion competition will win the scholarship.",426
Queer Fish,"Love takes many forms-and Queer Fish covers most of the ones you've never thought twice about! This eclectic anthology of gay fiction is packed with memorable couples just trying to make it work, whether ""it"" is as simple as distance or as complicated as figuring out how to date a headless ghost, an insidious incubus, an overworked superhero, or a big stupid Irish guy from South Boston. Whatever challenges these heroes face, there's never a shortage of passion, intrigue and zombie attacks.",494
"Called by the Bear, Part 6","As Carly Le Roux I'm an alpha, clan leader, and a mother. I thought my life as a tattoo artist was a closed chapter. But, Brady doesn't want me to lose the person I am and Sierra and I are presented with a new business opportunity that will open a few unexpected doors....
As Mrs. Lily Veilleux I've entered a world I didn't know existed. Becoming a werebear was my first shock, and I'm afraid there are more surprises on their way...",434
Craving Secrets: Everyone Has A Secret (Craving Series Book 3),"I've got a secret...and so do you.
We all have something we keep hidden from our friends, our families--and sometimes even from ourselves.
But nothing stays secret forever.
Sooner or later you trust the wrong person, a friend overhears a forbidden conversation, or your lover discovers the one thing you were sure was safely concealed.
It might devastate your family--or destroy your career.
You may think your secret is securely locked away...
But someone always finds the key.",478
God's Funeral: The Decline of Faith in Western Civilization,"During the course of the 19th century, the idea of God became unknowable and then scientifically impossible. And yet, as award-winning novelist and biographer A.N. Wilson asserts in this dazzling synthesis of biography and intellectual history, ""the God-Question does not go away"".Drawing on his wide-ranging knowledge of Western culture and engaging sense of biography, Wilson has written a profoundly important book about the emergence of a new imaginative order.",465
"Black God, Vol. 5","Still in Okinawa, Kuro and the twins unvover a Shishigami plot to systematically destroy sources of tera around the world! But the conflicted Keita isn't really in a position to be much help as he juggles getting to know his mother's doppeliner, Shinobu, with fulfilling his duties as Kuro's partner. But when the Shishigami invite Keita to join them, will that be enough to snap him out of his confusion?",405
Don't Forget to Come Back!,"Parents, kids, and babysitters alike will relate to--and laugh at--this all-too-familiar tale, wisely and wittily penned by an expert in child development and brought wickedly to life with detailed illustrations by a noted New Yorker cartoonist. With warmth, empathy, and a healthy dose of hilarity, Robie H. Harris and Harry Bliss capture the many emotions children feel when parents go out--and a babysitter comes in!",419
Stealing Water: A Secret Life in an African City,"Tim Ecott's family swapped Northern Ireland for apartheid Johannesburg in the 1970s. But just six months after arriving, the family was bankrupt and evicted from their home. Funny, witty and affecting, this is a very different African memoir about how the worst of times can become the most valuable period of a person's life. (Warning - may contain strong language)",366
"Edith Stein, a Biography","This is the powerful and moving story of the remarkable Jewish woman who converted to Catholicism, gained fame as a great philosopher in Germany, became a Carmelite nun, and was put to death in a Nazi concentration camp. Recently beatified by Pope John Paul II, Edith Stein was a courageous, intelligent and holy woman who speaks powerfully to us even today.",358
Madden NFL 08: Prima Official Game Guide,"Over 180 in-depth play breakdowns will have your game on overload.
* In-depth coverage of each NFL team.
* Super pass route combinations to shred the defense.
* Powerful online play strategies to make you more competitive than ever.
* Unleash the Hit Stick 2.0 to stop ball carriers in their tracks.
* Stats and analysis for Fantasy Football picks.",348
"Defensive Tactics (Defensive Tactics, #1)","Paul Stephens has it all--a wonderful job at the FBI, a new girlfriend, and a great apartment. Even when Jimmy, a friend from his past, unexpectedly ends up on his couch, Paul has no worries. But when arresting a corrupt judge puts his girlfriend's life in danger, Paul and Jimmy will do anything to save her. How far will Paul go to protect the ones he loves? Filled with suspense and action, Defensive Tacticsshows just how much the bonds of friendship can endure.",466
Lilies and Steel,"Jane Davis has worked two years growing her party planning business and it is finally paying off when she has the opportunity to plan a Gala for Daman Steel, CEO of Steel Publishing. She gets more than she bargains for when Daman decides that he must have her. Daman is a man who gets what he wants. Jane fights determined to keep everything professional even though her body wants more.",387
Three Men and a Maid,"When I said I would marry you, you were a hero to me. You stood to me for everything that was noble and brave and wonderful. I had only to shut my eyes to conjure up the picture of you as you dived off the rail that morning. Now--her voice trembled--""if I shut my eyes now, --I can only see a man with a hideous black face making himself the laughing stock of the ship. How can I marry you, haunted by that picture?""",416
A Small Child's Book Of Prayers,"A charming book of prayers to help little ones say, ""Thank you!""
To help children give thanks for the day's small blessings, Cyndy Szekeres offers a collection of simple prayers featuring her engaging woodland animals.
Filled with joy and faith, the fifteen prayers in this charming collection are guaranteed to become favorites for children and parents alike.",360
A Perfect View,"Cici is ready for all her favorite camping activities! She has everything planned for the trip with her dad, her sister, and her friend Kendra. But with Cici's new fairy powers, nature has more in store for her than she'd expected. A campsite mix-up, stormy weather, and a forest sprite keep testing her good spirits. Can Cici come to see the magic in surprises, before their whole trip is ruined?",397
The Swordbearers: Supreme Command in the First World War,"Four of the most important World War I commanders-in-chief helped determine its outcome--and, by extension, the course of the 20th century. Here are the stories of Colonel-General von Molke, who attempted to defeat France in a mere 6 weeks; Admiral Sir John Jellicoe, who struggled unsuccessfully to crush the German High Sea Fleet; General Petain, whose inaction led the French troops to mutiny; and General Ludendorff, who mounted a titanic German offensive...that failed.",474
Wash Me Away,"Monsters have a way of following you.
Immersed in a new world at boarding school, Addy Buckley learns she's not the only one with secrets. While trying to navigate the minefield of painful lies that seem to be rattling around her family's past, she meets soft on the eyes and heavy on the heart, Napoleon Blake.
When faced with the darkness, Addy must decide to cling to her new life and friends or let the monster carry her away. The choice is hers, sink or swim.",464
"Puella Magi Oriko Magica: Sadness Prayer, Vol. 2","Oriko sees her use of Kiriko as an attack dog against other magical girls as a justifiable means to achieving a greater purpose--protecting the world from the destructive force of Walpurgisnacht. However, their arrangement has piqued the interest of another magical girl, who has her own reasons for wanting a magical killer like Kiriko at her beck and call...Will her savory offer sway Kiriko's allegiance and leave Oriko herself open to attack?!",447
De Otio; de Brevitate Vitae,"This edition of Seneca's De otio and De brevitate vitae introduces undergraduates and more advanced students to Senecan philosophy. Both texts promote the benefits of living an inner existence insulated from everyday pressures. This edition emphasizes the relevance of the provocative Senecan message of a ""balanced"" life and his views on the complex relationship of the individual to society.",393
Montreal Stories,"'I grew up without a home - what was it, the south, Pittsburgh? - and by my mid-twenties the anxiety had grown palpable. My most potent memories were southern, but the inherited memories were of my parents' Canada, especially Montreal, where they had met and life had taken an improbable turn for both of them.",310
Soul Food,"A woman dead in a derelict hotel. Hardly an unusual sight working homicide.
Already under IA scrutiny, Blake must hunt the killer through a maze of cults, criminals, fake mediums, and things whose existence makes him question his sanity. All the while trying to shoot as few people as possible. Fatally, at least.
And there's the very unreal possibility of his soul becoming food for things that shouldn't exist.
A paranormal suspense story.",441
Lost Tales: Stories for the Tsar's Children,"Created for Tsar Nicholas's children in 1918, when they were held captive in Siberia, Botkin's poignant tales are by turns allegorical and political. Smuggled out of the Soviet Union in 1919, the beautifully illustrated tales are being published here for the first time. Foreword by acclaimed Romanov biographer Robert K. Massie. 50 color illustrations.",353
Saints' Lives In Middle English Collections (Teams Middle English Texts Series),"This volume is conceived as a complement to another Middle English Texts series text, Sherry Reames' Middle English Legends of Women Saints. This selection is intended to be broadly representative of saints' lives in Middle English and of the classic types of hagiographic legend as these were presented to the lay public and less-literate clergy of late medieval England.",372
X-Men Origins: Emma Frost #1 (X-Men Origins (2008-2010)),"Witness the birth of the White Queen! From the mousy girl from a rich New England family, to the rich and terrifying queen of a secret society, to the leader of the X-Men, Emma has cut a powerful swath through the Marvel Universe. See her rise to power in this one-shot by Valerie D'Orazio and Karl Moline!",306
"Sin City, Vol. 6: Booze, Broads, & Bullets (Sin City, #6)","Dark Horse proudly releases the latest Sin City collection from comics master Frank Miller. This new book features never-before-collected stories in Miller's harsh, dramatic black-and-white style, with some highlighted in a special color. This volume also features new art by Miller created especially for this collection. Collects The Babe Wore Red; Silent Night; Lost, Lonely, & Lethal; Sex & Violence; Just Another Saturday Night; and more.",443
13 Rue Thérèse,"As he settles into his Paris office, American academic Trevor Stratton discovers a box full of century-old artifacts. The pictures, letters and objects in the box relate to Louise Brunet, a Frenchwoman who lived through both World Wars. But, as he becomes enamoured with the feisty lady in his mind, he notices another alluring woman.",334
"Nightwing: Rebirth #1 (Nightwing 2016, #1)","He's been Robin, Batman, a spy, a ghost. Now, Dick Grayson returns to Gotham City to reclaim the life that was taken from him. But when a new evil threatens those he loves most, Nightwing faces being torn away from home once again in order to destroy the dark force once and for all. Powerhouse artist Yanick Paquette (BATMAN, SWAMP THING) joins series writer Tim Seeley (GRAYSON, BATMAN & ROBIN ETERNAL) to return Nightwing to the DC superhero stage!",451
The Story Of Atlantis,"The place of origin of the Tlavatli or 2nd sub-race was an island off the west coast of Atlantis. The spot is marked on the 1st map with the figure 2. Thence they spread into Atlantis proper, chiefly across the middle of the continent, gradually however tending northwards towards the stretch of coast facing the promontory of Greenland.",337
Eating Peaches: What Happens When You Swap City Lights for the Simple Life?,"There is nothing wild about Elena--every inch of her shiny blonde hair and tailored suit screams modern working woman. But all that is about to change, thanks to a man called Tyrone Power. He's her boss and is about to offer her the promotion she's always wanted, but there's a catch--she has to set up a new office for him in his sleepy home town of Ballyknock.",362
Dinosaur,"Full-color photos. ""From cover to cover, this openly invites the reader to discover the delights of dinosaurs. The visual appeal is impressive. The text is informative. Fossilization, skeleton reconstruction, and a superb time scale round out a stunning and compelling book. Complete, authoritative, exact, and imaginative, it is sure to survive when other dinosaur books become extinct.""--(starred) Science Books & Films.",422
100%,"All five issues of the groundbreaking sci-fi miniseries from writer/artist Paul Pope are collected is here one stunning package. This ""graphic movie"" tells three separate but interconnected stories in Pope's trademark dynamic style, shifting viewpoints and characters across the urban maze of 2038 Manhattan. Filled with wit, charm, sex and menace, 100% brings a surprisingly true-feeling future to gritty life. Suggested for Mature Readers.",441
Here I Stay,"The HauntingTurning a decrepit old mansion into a beautiful country inn isn't easy, but for Andrea Torgesen, the hard work is exactly what her young brother, Jim, needs after a serious car accident. Or, so she thinks--until Jim is haunted by unearthly voices and eerie visions, and becomes obsessed with a long-neglected graveyard. Suddenly, the impossible becomes terrifyingly possible and Andrea must battle an evil force that threatens to destroy their lives.",462
The Easter Bunny,"Jeff has always found comfort in the sense of community he gets from his church. He grew up with these people, and they know everything about him... except that he's gay. When a cute, new boy shows up as a volunteer Easter Bunny, Jeff decides to finally make a move, but the choices he makes on this Easter Sunday could completely change the life he's always known.",365
Forensic Astrology for Everyone,"Forensic Astrology is both science and art. Using this new method of chart analysis, you can solve mysteries, locate lost objects, project the outcome of events and find clues in cold cases. You no longer have to be an Astrologer to do these things. Using this new method of analysis along with the reference tables and charts in this book, you can quickly learn to read forensic charts. There is no need to memorize anything.",426
What Every Woman Wants in a Man/What Every Man Wants in a Woman: 10 Essentials for Growing Deeper in Love |10 Qualities for Nurturing Intimacy,"Opposites Attract...and can thrive in a marriage built on God.
The book starts with the results of a survey detailing the ten most important qualities that each man or woman wants in a spouse, then teaches us how we can be the person who breeds that quality in our husband or wife. Throughout the book the authors use their own personalities and experience with marriage to demonstrate how to do marriage right.",411
"Talons of Power (Wings of Fire, #9)","The war is over. The false prophecy has been fulfilled. But the dragonets still have enemies. A dark evil, buried for centuries, is stirring.
And a young NightWing may have had the first true prophecy in generations . . .
Something is coming to shake the earth
Something is coming to scorch the ground
Jade Mountain will fall beneath thunder and ice
Unless the lost city of night can be found.
Don't miss the next chapter in the epic, bestselling Wings of Fire series!",468
Nathanial's Window,"Tommy Cooper's life is hellish...that is, until it gets worse. A series of devastating losses later and Tommy's in the wrong place at the wrong time. Again. When he and his friend, Nicky, desecrate a tomb in an all but forgotten part of the cemetery, they unleash a power they don't have the ability to reckon with. Hell was just the easy part--the part before Jesse Eades came back!",383
Resonance,"Twins Kirsten and Kaytlin enjoy living on a secluded wooded estate, until strange events take place around their home after Kieran buys a mysterious painting. Kaytlin is convinced the painting is a mystical object, but Kieran is convinced that nothing is wrong. Who's right? Is it a coiencidence, or something else?",315
"Assegai (Courtney, #13)","1913. Leon Courtney is in British East Africa guiding rich and powerful men from America and Europe on safaris in the Masai tribal territories. One of his clients has a company which builds aircraft and vehicles for the Kaiser's army. He hadn't bargained on falling in love with Eva, the Count's mistress.",305
Even Fairies Fart,"Jill Davis at HarperCollins/Katherine Tegen Books has bought world rights to Even Fairies Fart, a picture book by psychotherapist Jennifer Stinson that addresses the embarrassing things we all do. Rebecca Ashdown is set to illustrate, and publication is scheduled for summer 2017. Liza Dawson of Liza Dawson Associates represented the author, and Anne Moore Armstrong of The Bright Group represented the illustrator.",416
How Turtle's Back Was Cracked: A Traditional Cherokee Tale,"Long ago when all the creatures still spoke the same language, Turtle's back was smooth and shiny. Then one day a wolf tried to steal persimmons from Turtle and his best friend, Possum. It was Possum who fixed the thief but Turtle convinced himself that he was the mighty hunter who had slain the greedy wolf--and his boastful ways soon lead to trouble. Full color.",365
Scandalous Defense,"Dominic Maldoven is a legitimate businessman who just came back to town, but he'll never shake his family's notorious reputation. It shouldn't even be a surprise when he winds up arrested for murder just weeks after his return to Minneapolis. Hotshot attorney, Raven Lassiter, knows it should be a clear case of self-defense, but everything is a lot more complicated-especially since her handsome client keeps trying to get her to break the rules.",447
Delia's Dull Day,"Poor Delia, nothing ever happens to her. Her life is so dull, dull, dull. But perhaps if Delia decided to look up or turn around, she'd see the elephants marching through her house the pirate sitting behind her on the school bus or even the submarine that rises to the surface right after she leaves the pool! If Delia ever paid attention, she'd realize her life is quite exciting after all.",391
Interstate 64,"His name is Tom, just Tom. After a tumultuous childhood of ill begotten love and psychological torment, Tom decides it's time to leave his past behind and make a new life for himself. He strikes out on his own, taking to the roadways, leaving death and destruction in his wake with remnants of his previous life haunting him at every turn. The interstate will never be the same. Are serial killers born or bred? Find out in Interstate 64.",438
